time_epoch,time,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition.text,condition.icon,condition.code,name,region,country,lat,lon,tz_id,localtime_epoch,localtime
1701406800,2023-12-01 00:00,4.7,40.5,0,11.0,17.6,216,SW,1021.0,30.14,0.0,0.0,81,25,1.6,34.9,1.6,34.9,4.7,40.5,1.8,35.2,0,0,0,0,10.0,6.0,17.7,28.4,1.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701410400,2023-12-01 01:00,4.5,40.1,0,9.8,15.8,217,SW,1021.0,30.14,0.0,0.0,82,11,1.4,34.5,1.4,34.5,4.5,40.1,1.7,35.1,0,0,0,0,10.0,6.0,15.7,25.3,1.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701414000,2023-12-01 02:00,4.4,39.9,0,8.3,13.3,218,SW,1021.0,30.15,0.0,0.0,82,0,1.4,34.4,1.4,34.4,4.4,39.9,1.6,34.9,0,0,0,0,10.0,6.0,13.5,21.7,1.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701417600,2023-12-01 03:00,4.1,39.4,0,7.6,12.2,221,SW,1022.0,30.17,0.0,0.0,83,0,0.9,33.7,0.9,33.7,4.1,39.4,1.5,34.8,0,0,0,0,10.0,6.0,12.6,20.2,1.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701421200,2023-12-01 04:00,3.8,38.8,0,7.2,11.5,222,SW,1021.0,30.16,0.0,0.0,85,0,0.8,33.5,0.8,33.5,3.8,38.8,1.6,34.8,0,0,0,0,10.0,6.0,12.0,19.3,1.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701424800,2023-12-01 05:00,4.0,39.2,0,6.3,10.1,222,SW,1020.0,30.13,0.0,0.0,87,0,1.7,35.1,1.7,35.1,4.0,39.2,2.1,35.8,0,0,0,0,10.0,6.0,11.0,17.6,1.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701428400,2023-12-01 06:00,3.7,38.7,0,6.5,10.4,225,SW,1021.0,30.14,0.0,0.0,87,0,1.2,34.1,1.2,34.1,3.7,38.7,1.8,35.2,0,0,0,0,10.0,6.0,11.5,18.4,1.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701432000,2023-12-01 07:00,3.4,38.1,0,5.6,9.0,220,SW,1022.0,30.17,0.0,0.0,89,2,1.0,33.8,1.0,33.8,3.4,38.1,1.7,35.1,0,0,0,0,10.0,6.0,10.1,16.2,1.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701435600,2023-12-01 08:00,3.0,37.4,1,6.0,9.7,223,SW,1021.0,30.16,0.0,0.0,89,24,0.4,32.8,0.4,32.8,3.0,37.4,1.4,34.6,0,0,0,0,10.0,6.0,11.0,17.7,2.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701439200,2023-12-01 09:00,3.0,37.4,1,5.8,9.4,217,SW,1022.0,30.17,0.0,0.0,83,72,0.4,32.8,0.4,32.8,3.0,37.4,0.3,32.6,0,0,0,0,10.0,6.0,10.1,16.3,1.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,1006,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701442800,2023-12-01 10:00,4.3,39.7,1,6.5,10.4,219,SW,1022.0,30.17,0.0,0.0,76,69,2.0,35.5,2.0,35.5,4.3,39.7,0.4,32.7,0,0,0,0,10.0,6.0,10.0,16.1,1.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,1006,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701446400,2023-12-01 11:00,5.8,42.4,1,5.1,8.3,202,SSW,1021.0,30.16,0.0,0.0,69,100,3.9,39.1,3.9,39.1,5.8,42.4,0.6,33.1,0,0,0,0,10.0,6.0,7.3,11.8,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701450000,2023-12-01 12:00,6.3,43.3,1,5.6,9.0,211,SSW,1022.0,30.17,0.0,0.0,70,100,4.6,40.3,4.6,40.3,6.3,43.3,1.2,34.1,0,0,0,0,10.0,6.0,7.7,12.4,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701453600,2023-12-01 13:00,6.5,43.7,1,6.5,10.4,214,SW,1021.0,30.15,0.0,0.0,71,100,5.1,41.2,5.1,41.2,6.5,43.7,1.7,35.0,0,0,0,0,10.0,6.0,9.0,14.5,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701457200,2023-12-01 14:00,7.1,44.8,1,2.7,4.3,232,SW,1020.0,30.13,0.0,0.0,70,100,5.8,42.4,5.8,42.4,7.1,44.8,2.1,35.7,0,0,0,0,10.0,6.0,3.8,6.2,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701460800,2023-12-01 15:00,6.9,44.4,1,4.9,7.9,200,SSW,1020.0,30.12,0.0,0.0,74,100,6.4,43.4,6.4,43.4,6.9,44.4,2.6,36.7,0,0,0,0,10.0,6.0,6.9,11.1,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701464400,2023-12-01 16:00,6.9,44.4,1,4.5,7.2,196,SSW,1020.0,30.12,0.0,0.0,76,100,6.5,43.7,6.5,43.7,6.9,44.4,3.0,37.4,0,0,0,0,10.0,6.0,6.6,10.6,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701468000,2023-12-01 17:00,7.1,44.8,0,3.8,6.1,165,SSE,1019.0,30.1,0.0,0.0,79,100,6.5,43.6,6.5,43.6,7.1,44.8,3.7,38.6,0,0,0,0,10.0,6.0,6.0,9.7,1.0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701471600,2023-12-01 18:00,6.5,43.7,0,5.1,8.3,175,S,1021.0,30.14,0.0,0.0,90,100,4.8,40.7,4.8,40.7,6.5,43.7,4.9,40.9,0,0,0,0,2.0,1.0,8.0,12.8,1.0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701475200,2023-12-01 19:00,7.8,46.0,0,2.2,3.6,200,SSW,1019.0,30.1,0.0,0.0,86,100,5.2,41.3,5.2,41.3,6.4,43.5,6.1,43.0,0,0,0,0,4.8,2.0,8.4,13.5,1.0,Light rain,//cdn.weatherapi.com/weather/64x64/night/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701478800,2023-12-01 20:00,6.3,43.3,0,5.6,9.0,212,SSW,1019.0,30.09,3.32,0.13,97,100,4.5,40.1,4.5,40.1,6.3,43.3,5.8,42.5,1,73,0,0,9.0,5.0,7.9,12.7,1.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/night/302.png,1189,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701482400,2023-12-01 21:00,6.6,43.9,0,5.6,9.0,204,SSW,1019.0,30.09,0.0,0.0,97,100,5.1,41.2,5.1,41.2,6.6,43.9,6.1,43.0,0,0,0,0,9.0,5.0,8.0,12.9,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701486000,2023-12-01 22:00,6.9,44.4,0,6.0,9.7,194,SSW,1018.0,30.07,0.0,0.0,97,100,6.2,43.2,6.2,43.2,6.9,44.4,6.4,43.6,0,0,0,0,2.0,1.0,8.8,14.1,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701489600,2023-12-01 23:00,7.3,45.1,0,7.4,11.9,204,SSW,1018.0,30.05,8.33,0.33,97,100,7.1,44.8,7.1,44.8,7.3,45.1,6.9,44.3,0,63,0,0,10.0,6.0,10.8,17.3,1.0,Heavy rain,//cdn.weatherapi.com/weather/64x64/night/308.png,1195,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701493200,2023-12-02 00:00,7.0,44.6,0,6.5,10.4,213,SSW,1017.0,30.04,0.0,0.0,95,100,6.3,43.4,6.3,43.4,7.0,44.6,6.3,43.4,0,0,0,0,10.0,6.0,9.7,15.6,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701496800,2023-12-02 01:00,7.2,45.0,0,6.5,10.4,233,SW,1017.0,30.03,0.0,0.0,94,100,5.6,42.0,5.6,42.0,7.2,45.0,6.2,43.2,0,0,0,0,10.0,6.0,9.8,15.8,1.0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701500400,2023-12-02 02:00,6.9,44.4,0,6.0,9.7,252,WSW,1017.0,30.03,0.0,0.0,97,72,4.9,40.8,4.9,40.8,6.9,44.4,6.4,43.6,0,0,0,0,2.0,1.0,9.1,14.7,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701504000,2023-12-02 03:00,6.7,44.1,0,4.0,6.5,262,W,1017.0,30.03,0.0,0.0,96,80,4.6,40.3,4.6,40.3,6.7,44.1,6.2,43.1,0,0,0,0,2.0,1.0,6.2,9.9,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701507600,2023-12-02 04:00,6.5,43.7,0,4.5,7.2,234,SW,1017.0,30.02,0.0,0.0,97,100,4.7,40.4,4.7,40.4,6.5,43.7,6.0,42.9,0,0,0,0,2.0,1.0,7.0,11.2,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701511200,2023-12-02 05:00,6.4,43.5,0,3.8,6.1,230,SW,1017.0,30.02,0.0,0.0,97,100,4.4,39.9,4.4,39.9,6.4,43.5,6.0,42.8,0,0,0,0,2.0,1.0,6.2,9.9,1.0,Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701514800,2023-12-02 06:00,6.2,43.2,0,4.7,7.6,218,SW,1017.0,30.02,0.0,0.0,98,100,4.3,39.8,4.3,39.8,6.2,43.2,5.9,42.6,0,0,0,0,2.0,1.0,8.0,12.8,1.0,Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701518400,2023-12-02 07:00,6.1,43.0,0,4.3,6.8,218,SW,1017.0,30.04,0.0,0.0,98,100,4.0,39.3,4.0,39.3,6.1,43.0,5.8,42.5,0,0,0,0,2.0,1.0,7.4,11.9,1.0,Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701522000,2023-12-02 08:00,6.0,42.8,1,5.4,8.6,224,SW,1018.0,30.05,0.0,0.0,98,100,4.0,39.2,4.0,39.2,6.0,42.8,5.7,42.3,0,0,0,0,2.0,1.0,9.5,15.2,2.0,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png,1135,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
